number,x,y,uid
141,113.98918392510039,22.533438150986086,152cdfdac04c75e6f4b91642
142,113.98876083093018,22.532908489334197,152cdfdac04c75e6f4b91642
143,113.98851411977483,22.532049498107593,152cdfdac04c75e6f4b91642
144,113.98818902175005,22.530987757380743,152cdfdac04c75e6f4b91642
145,113.98808291705116,22.530623303364703,152cdfdac04c75e6f4b91642
146,113.98800471108281,22.530641143730623,152cdfdac04c75e6f4b91642
147,113.98730964125129,22.530765678539804,152cdfdac04c75e6f4b91642
148,113.98684678492667,22.530936692497004,152cdfdac04c75e6f4b91642
149,113.98640706679325,22.53113403151546,152cdfdac04c75e6f4b91642
150,113.98628656102923,22.531217596553514,152cdfdac04c75e6f4b91642
151,113.98617004111509,22.53134194704213,152cdfdac04c75e6f4b91642
152,113.98612215376939,22.531431689105307,152cdfdac04c75e6f4b91642
153,113.98611975097526,22.53153649100823,152cdfdac04c75e6f4b91642
154,113.9861341075776,22.53163084212095,152cdfdac04c75e6f4b91642
155,113.98612931406294,22.53170605292788,152cdfdac04c75e6f4b91642
156,113.98611334939883,22.531762098821044,152cdfdac04c75e6f4b91642
157,113.98607902711294,22.531854999095007,152cdfdac04c75e6f4b91642
